contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_1016731|provirus_136_7188	7053	NA	58587.12250132706	12.038481664362749	high	4.90644612587249	68	CheckV-051622	66.5	34.19	8.007492750558054	16.484728634310123	4	1.0
k141_149142	3184	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_447591	1514	NA	49638.37673706059	3.0500594490021466	medium	8.22784810126582	60	CheckV-047960	49.8	61.21	0.9	4.03	1	1.0
k141_1044124	4087	NA	229125.00441441956	1.783742464269776	low	16.7746825248758	53	CheckV-013217	33.3	24.23	NA	NA	0	1.02
k141_298736	1033	NA	26223.738607991407	3.9391789837517837	low	10.6764514907398	97	CheckV-000379	44.0	100.0	NA	NA	0	1.0
k141_447897	1085	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_597153	1727	NA	42614.0	4.052658750645328	low	13.957011667213	1	CheckV-011906	32.7	52.43	NA	NA	0	1.0
k141_895608	4244	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_597478	2359	NA	195922.56846648338	1.2040470980266655	high	3.78688054998568	23	CheckV-015755	87.5	43.99	1.0385165614125533	1.659472870215234	3	1.0
k141_895699	1509	NA	24407.251340083385	6.182588850231608	low	18.8069420012078	2	CheckV-000927	28.8	60.57	NA	NA	0	1.0
k141_1044908	1056	NA	183151.7883245592	0.5765709467868727	high	2.19422998780983	312	CheckV-059243	79.8	48.98	0.41830577956293546	0.6223684510191617	3	1.0
k141_448496	1080	NA	61136.98035411108	1.7665249309739204	medium	6.5590302496389	3	CheckV-058200	64.4	33.53	1.58	2.97	1	1.0
k141_299404	1229	NA	193249.01078930363	0.6359670328868898	high	0.797209765819631	7	CheckV-061481	91.4	65.77	0.6	2.9	1	1.0
k141_1045156	1215	NA	58852.64170517355	2.0644782711481806	high	3.47496706192358	486	CheckV-041606	76.8	38.87	1.4112157330154946	3.3984266984505367	2	1.0
k141_896142	3552	NA	NA	NA	NA	NA	0	NA	NA	NA	0.8099999999999999	3.5499999999999994	1	1.0
k141_1045356	2941	NA	181032.43356477204	1.6245707700480823	high	3.8458045310056	156	CheckV-061379	67.1	86.59	1.2142953020134228	1.8085906040268456	2	1.0
k141_299773	4203	NA	239900.3412702539	1.7519774993838848	low	18.451911776551	9	CheckV-042948	50.2	14.86	1.7596732149279806	3.305456694127117	3	1.0
k141_896372	2301	NA	181614.30344186345	1.2669706936032012	high	1.84318314803979	113	CheckV-015755	89.4	81.46	0.9493736017897091	1.4189038031319912	2	1.0
k141_299923	3028	NA	182409.39865205542	1.660002183207614	high	3.53497918923542	186	CheckV-042948	78.3	47.92	1.312765865374213	2.2048676028301273	3	1.0
k141_1492	4012	NA	98724.0	4.063854787083182	low	16.354663036079	2	CheckV-000144	41.3	19.02	NA	NA	0	1.0
k141_1045765	1482	NA	164136.4767053099	0.9029071597904333	medium	6.68889588021372	148	CheckV-061800	58.6	27.99	0.6487735849056604	0.9163207547169812	2	1.03
k141_896673	3010	NA	182332.41773407705	1.650830958864341	medium	7.41878841088674	87	CheckV-044683	52.2	35.62	NA	NA	0	1.0
k141_598408	14049	NA	138980.8278455207	10.10858851381694	low	16.4293487069065	52	CheckV-017320	27.4	27.66	5.0241575715331175	16.10094073789212	4	1.01
k141_598779	1077	NA	175506.42059503216	0.613652763442254	medium	7.29637658717869	102	CheckV-060753	52.1	100.0	0.56	1.39	1	1.0
k141_897059	1084	NA	208138.35837782736	0.5208074131305711	medium	9.32935933119225	15	CheckV-051884	33.8	25.13	0.5223076923076924	0.63	2	1.0
k141_151431	1600	NA	176676.98726862727	0.905607473126815	medium	6.41143235675985	22	CheckV-045663	53.7	51.06	0.7541207421766825	0.9501633896427581	3	1.0
k141_2124	1284	NA	17931.0	7.160783001505772	low	18.5122354407915	1	CheckV-000755	27.9	57.52	0.68	2.88	1	1.0
k141_151545	1115	NA	54463.71835316656	2.047234441045418	medium	7.69344577600237	49	CheckV-061657	55.7	39.12	0.54	13.77	1	1.0
k141_151662	1243	NA	42639.64544606331	2.915127428937755	low	10.6198315369057	7	CheckV-012209	43.9	50.3	NA	NA	0	1.0
k141_2328	4719	NA	535544.3858133752	0.8811594566214838	low	16.7746825248758	3	CheckV-000616	34.0	24.48	0.39	2.75	1	1.01
k141_2341	1160	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_450160	2804	NA	51478.929683638526	5.446888692581329	medium	6.27705627705628	21	CheckV-012901	65.8	38.98	2.84	8.04	1	1.0
k141_1046902	11136	NA	310517.04284110153	3.5862765850499674	high	3.71484524843028	26	CheckV-000616	59.9	41.42	NA	NA	0	1.0
k141_450203	4302	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_599358	1322	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_599456	2269	NA	49015.653812014505	4.62913339624541	medium	7.44864970773602	30	CheckV-061284	52.6	29.87	2.641319727891157	6.868380952380952	2	1.0
k141_748517	2374	NA	36265.44872358648	6.54617572250247	high	4.62276493676406	37	CheckV-049711	67.2	55.31	4.36200647249191	6.941650485436894	2	1.0
k141_301197	2684	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_151962	8533	NA	759022.5006316971	1.1242090969501435	low	16.1277892551785	20	CheckV-000616	47.4	13.27	0.69	5.72001082837033	2	1.02
k141_450389	1877	NA	56351.61261446148	3.330871847167523	medium	5.70841889117043	6	CheckV-001205	57.8	54.46	3.5494913323024337	5.500300317408644	3	1.0
k141_1047210	7127	5025	179082.11344713872	2.805975372567442	low	14.6911520575663	234	CheckV-051884	33.7	35.11	2.30052921052858	4.72708175736321	3	1.0
k141_1047385	2750	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_152301	3674	NA	98601.69164241041	3.7261024012895785	medium	7.02632877950927	24	CheckV-002719	60.7	32.22	NA	NA	0	1.0
